name,lat,long,link,administrative_district,geohash
新社區東山路與中興嶺街一段,24.2062314,120.7914376,https://tcnvr7.taichung.gov.tw/0c58611b,"臺中市, 新社區",wsmcswte
新社中興嶺圓環,24.20580588,120.7944003,https://tcnvr3.taichung.gov.tw/e90afe30,"臺中市, 新社區",wsmcswxc
新社興中街/協中街,24.20270172,120.7976189,https://tcnvr7.taichung.gov.tw/21ab9d45,"臺中市, 新社區",wsmcsvfn
新社區華豐街協興街口,24.20272707,120.8159691,https://tcnvr5.taichung.gov.tw/b537f63c,"臺中市, 新社區",wsmctjzx
新社區興社街一段與 225 巷口,24.20384386,120.8214814,https://tcnvr7.taichung.gov.tw/273685f1,"臺中市, 新社區",wsmctq5t
台21線-25-0210-000-001,24.1594193,120.862771,https://cctv-ss03.thb.gov.tw:443/T21-000K+350,"臺中市, 新社區",wsmcqq1d
台21線-25-0210-017-001,24.0964803,120.8881407,https://cctv-ss03.thb.gov.tw:443/T21-017K+400,"臺中市, 新社區",wsmcnfsh
大甲溪橋引道-22-0610-145-001,24.3244804,120.5671273,https://cctv-ss04.thb.gov.tw:443/T61-145K+350,"臺中市, 清水區",wsmdrs4k
台61線-22-0610-147-001,24.30941484,120.5582738,https://cctv-ss04.thb.gov.tw:443/T61-147K+200,"臺中市, 清水區",wsmdr37u
港埠路五段-22-0610-148-001,24.30216541,120.554597,https://cctv-ss04.thb.gov.tw:443/T61-148K+010,"臺中市, 清水區",wsmdr214
臨港路五段-22-0170-007-002,24.281237,120.5362863,https://cctv-ss03.thb.gov.tw:443/T17-007K+000,"臺中市, 清水區",wsmdnu7b
港埠路四段-22-0610-151-004,24.27757622,120.5481858,https://cctv-ss03.thb.gov.tw:443/T61-Qingshui-in,"臺中市, 清水區",wsmdp5se
台61線-22-0610-150-001,24.27708774,120.5479376,https://cctv-ss04.thb.gov.tw:443/T61-150K+850,"臺中市, 清水區",wsmdp5s2
臨港路五段-22-0170-007-001,24.27433942,120.5334816,https://cctv-ss03.thb.gov.tw:443/T17-007K+800,"臺中市, 清水區",wsmdng1b
台61線-22-0610-152-001,24.2645339,120.5425767,https://cctv-ss03.thb.gov.tw:443/T61-152K+350,"臺中市, 清水區",wsmdp10r
台61線-22-0610-154-001,24.24995141,120.5361405,https://cctv-ss02.thb.gov.tw:443/T61-154K+168,"臺中市, 梧棲區",wsm9yyed
台61線-22-0610-155-002,24.2419189,120.5327134,https://cctv-ss04.thb.gov.tw:443/T61-155K+100,"臺中市, 梧棲區",wsm9yv15
港埠路一段-22-0610-155-001,24.23842994,120.5314358,https://cctv-ss04.thb.gov.tw:443/T61-155K+500,"臺中市, 梧棲區",wsm9yu2r
向上路九段-22-0610-157-002,24.22349315,120.5244918,https://cctv-ss06.thb.gov.tw:443/T61-157K+200,"臺中市, 梧棲區",wsm9y9g2
台61線-22-0610-157-001,24.22261889,120.52439,https://cctv-ss04.thb.gov.tw:443/T61-157K+300,"臺中市, 梧棲區",wsm9y9e4
龍昌路-22-0170-015-001,24.21027984,120.5055966,https://cctv-ss03.thb.gov.tw:443/T17-015K+470,"臺中市, 龍井區",wsm9wpm7
臨港東路二段-22-0170-017-001,24.19845007,120.5144614,https://cctv-ss05.thb.gov.tw:443/T17-17K+250,"臺中市, 龍井區",wsm9wm5y
台61線-22-0610-160-001,24.19534614,120.5095357,https://cctv-ss04.thb.gov.tw:443/T61-160K+800,"臺中市, 龍井區",wsm9wk8k
台1線-22-0010-173-001,24.19290982,120.5391685,https://cctv-ss03.thb.gov.tw:443/T1-173K+630,"臺中市, 龍井區",wsm9wujv
中華路一段-22-0010-168-001,24.23619576,120.5483761,https://cctv-ss03.thb.gov.tw:443/T1-168K+490,"臺中市, 梧棲區",wsm9zhhd
台1線-22-0010-162-001,24.27937154,120.5771779,https://cctv-ss03.thb.gov.tw:443/T1-162K+810,"臺中市, 清水區",wsmdpgct
臨港路七段-22-0170-000-002,24.30332343,120.5875966,https://cctv-ss03.thb.gov.tw:443/T17-000K+940,"臺中市, 清水區",wsmf2031
國道4號-N4-E-0.108-M,24.30470514,120.5921904,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=32,"臺中市, 清水區",wsmf20s9
台17線-22-0170-000-001,24.30453609,120.5925407,https://cctv-ss03.thb.gov.tw:443/T17-0K+400,"臺中市, 清水區",wsmf20sb
國道4號-N4-W-1.910-M,24.30680636,120.6020335,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=440,"臺中市, 清水區",wsmf22gt
國道4號-N4-E-1.160-M,24.30673539,120.6023313,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=502,"臺中市, 清水區",wsmf22gu
國道3號-N3-S-168.810-M,24.30931691,120.615285,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=260,"臺中市, 清水區",wsmf29mk
國道3號-N3-S-170.300-M,24.29974207,120.6042326,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=476,"臺中市, 清水區",wsmf0rtk
國道3號-N3-N-171.142-M,24.29280165,120.601851,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=261,"臺中市, 清水區",wsmf0q7e
國道3號-N3-N-172.400-M,24.28256841,120.5996864,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=477,"臺中市, 清水區",wsmf0kd0
清水服務區-大車區-N3-N-172.160-R,24.2823649,120.6006405,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=546,"臺中市, 清水區",wsmf0k6x
清水服務區-小車區1-N3-N-172.300-R,24.281265,120.5998422,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=544,"臺中市, 清水區",wsmf0k60
清水服務區-小車區1-N3-N-172.340-R,24.2800939,120.601345,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=542,"臺中市, 清水區",wsmf0k51
國道3號-N3-N-172.400-R-清水服務區入口,24.27845295,120.5982157,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=1130,"臺中市, 清水區",wsmf07bb
國道3號-N3-S-173.382-M,24.27417964,120.593192,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=262,"臺中市, 清水區",wsmf04vr
國道3號-N3-S-174.420-M,24.26618554,120.5895276,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=434,"臺中市, 沙鹿區",wsmf01d8
國道3號-N3-S-175.250-M,24.25715246,120.5884298,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=693,"臺中市, 沙鹿區",wsmcbpcu
台中市立自由車場停車場前,24.27199087,120.5817529,https://tcnvr8.taichung.gov.tw/c6840519,"臺中市, 清水區",wsmdpfsf
清水區中山路與學園街,24.26639219,120.5745237,https://tcnvr8.taichung.gov.tw/9d31bf32,"臺中市, 清水區",wsmdp9x9
清水區台中市私立嘉陽高級中學,24.26602574,120.5826165,https://tcnvr8.taichung.gov.tw/64ef6ed9,"臺中市, 清水區",wsmdpcmx
國道3號-N3-S-175.942-M,24.25238008,120.5894012,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=263,"臺中市, 沙鹿區",wsmcbp48
台10線-22-0100-007-001,24.2500239,120.590099,https://cctv-ss03.thb.gov.tw:443/T10-007K+245,"臺中市, 沙鹿區",wsmcbne4
